joint_name,type,qpos_addr,qpos_width,dof_addr,dof_width,range,actuator,actuated
base_float,free,0,7,0,6,,,False
right_joint,hinge,7,1,6,1,,right_motor,True
left_joint,hinge,8,1,7,1,,left_motor,True
MiddleBottom,slide,9,1,8,1,"[-0.25, 0.0]",,False
TopMiddle,slide,10,1,9,1,"[-0.25, 0.0]",,False
openarm_left_joint1,hinge,11,1,10,1,"[-3.490659, 1.396263]",left_joint1_ctrl,True
openarm_left_joint2,hinge,12,1,11,1,"[-3.316125, 0.174533]",left_joint2_ctrl,True
openarm_left_joint3,hinge,13,1,12,1,"[-1.570796, 1.570796]",left_joint3_ctrl,True
openarm_left_joint4,hinge,14,1,13,1,"[0.0, 2.443461]",left_joint4_ctrl,True
openarm_left_joint5,hinge,15,1,14,1,"[-1.570796, 1.570796]",left_joint5_ctrl,True
openarm_left_joint6,hinge,16,1,15,1,"[-0.785398, 0.785398]",left_joint6_ctrl,True
openarm_left_joint7,hinge,17,1,16,1,"[-1.570796, 1.570796]",left_joint7_ctrl,True
openarm_left_finger_joint1,slide,18,1,17,1,"[0.0, 0.044]",left_finger1_ctrl,True
openarm_left_finger_joint2,slide,19,1,18,1,"[0.0, 0.044]",left_finger2_ctrl,True
openarm_right_joint1,hinge,20,1,19,1,"[-1.396263, 3.490659]",right_joint1_ctrl,True
openarm_right_joint2,hinge,21,1,20,1,"[-0.174533, 3.316125]",right_joint2_ctrl,True
openarm_right_joint3,hinge,22,1,21,1,"[-1.570796, 1.570796]",right_joint3_ctrl,True
openarm_right_joint4,hinge,23,1,22,1,"[0.0, 2.443461]",right_joint4_ctrl,True
openarm_right_joint5,hinge,24,1,23,1,"[-1.570796, 1.570796]",right_joint5_ctrl,True
openarm_right_joint6,hinge,25,1,24,1,"[-0.785398, 0.785398]",right_joint6_ctrl,True
openarm_right_joint7,hinge,26,1,25,1,"[-1.570796, 1.570796]",right_joint7_ctrl,True
openarm_right_finger_joint1,slide,27,1,26,1,"[0.0, 0.044]",right_finger1_ctrl,True
openarm_right_finger_joint2,slide,28,1,27,1,"[0.0, 0.044]",right_finger2_ctrl,True
